"Point Name - null",,,
Min Value - 1469.2  (cu meter),,,
Max Value - 16226  (cu meter),,,
Average Value - 9693.5  (cu meter),,,
"Equipment - None",,,
"Space - None",,,
Point Url,=HYPERLINK("https://157.193.41.18/UI/#/network/hvac02:ca1102r1/FCB.076AVND010.VOL1-TOT.Trend"),,
TimeStamp,DataValue (cu meter),Reliability (blank if reliable),
"September 2, 2020 12:00:00 AM","1,536.4","",,
"September 3, 2020 12:00:00 AM","1,536.4","",,
"September 4, 2020 12:00:00 AM","1,536.7","",,
"September 5, 2020 12:00:00 AM","1,536.7","",,
"September 6, 2020 12:00:00 AM","1,536.7","",,
"September 7, 2020 12:00:00 AM","1,536.7","",,
"September 8, 2020 12:00:00 AM","1,536.7","",,
"September 9, 2020 12:00:00 AM","1,536.7","",,
"September 10, 2020 12:00:00 AM","1,536.7","",,
"September 11, 2020 12:00:00 AM","1,536.7","",,
"September 12, 2020 12:00:00 AM","1,536.7","",,
"September 13, 2020 12:00:00 AM","1,536.7","",,
"September 14, 2020 12:00:00 AM","1,536.7","",,
"September 15, 2020 12:00:00 AM","1,536.7","",,
"September 16, 2020 12:00:00 AM","1,536.7","",,
"September 17, 2020 12:00:00 AM","1,536.9","",,
"September 18, 2020 12:00:00 AM","1,536.9","",,
"September 19, 2020 12:00:00 AM","1,536.9","",,
"September 20, 2020 12:00:00 AM","1,536.9","",,
"September 21, 2020 12:00:00 AM","1,536.9","",,
"September 22, 2020 12:00:00 AM","1,536.9","",,
"September 23, 2020 12:00:00 AM","1,539.8","",,
"September 24, 2020 12:00:00 AM","1,546.9","",,
"September 25, 2020 12:00:00 AM","1,556.4","",,
"September 26, 2020 12:00:00 AM","1,566.0","",,
"September 27, 2020 12:00:00 AM","1,576.0","",,
"September 28, 2020 12:00:00 AM","1,576.0","",,
"September 29, 2020 12:00:00 AM","1,576.0","",,
"September 30, 2020 12:00:00 AM","1,586.6","",,
"October 1, 2020 12:00:00 AM","1,597.2","",,
"October 2, 2020 12:00:00 AM","1,607.6","",,
"October 3, 2020 12:00:00 AM","1,617.8","",,
"October 4, 2020 12:00:00 AM","1,627.9","",,
"October 5, 2020 12:00:00 AM","1,627.9","",,
"October 6, 2020 12:00:00 AM","1,627.9","",,
"October 7, 2020 12:00:00 AM","1,640.1","",,
"October 8, 2020 12:00:00 AM","1,653.1","",,
"October 9, 2020 12:00:00 AM","1,663.6","",,
"October 10, 2020 12:00:00 AM","1,675.3","",,
"October 11, 2020 12:00:00 AM","1,694.3","",,
"October 12, 2020 12:00:00 AM","1,718.2","",,
"October 13, 2020 12:00:00 AM","1,741.8","",,
"October 14, 2020 12:00:00 AM","1,767.7","",,
"October 15, 2020 12:00:00 AM","1,787.9","",,
"October 16, 2020 12:00:00 AM","1,805.5","",,
"October 17, 2020 12:00:00 AM","1,816.1","",,
"October 18, 2020 12:00:00 AM","1,827.0","",,
"October 19, 2020 12:00:00 AM","1,827.0","",,
"October 20, 2020 12:00:00 AM","1,827.0","",,
"October 21, 2020 12:00:00 AM","1,838.0","",,
"October 22, 2020 12:00:00 AM","1,848.8","",,
"October 23, 2020 12:00:00 AM","1,859.6","",,
"October 24, 2020 12:00:00 AM","1,870.1","",,
"October 25, 2020 12:00:00 AM","1,880.7","",,
"October 26, 2020 12:00:00 AM","1,880.7","",,
"October 27, 2020 12:00:00 AM","1,880.7","",,
"October 28, 2020 12:00:00 AM","1,891.8","",,
"October 29, 2020 12:00:00 AM","1,902.6","",,
"October 30, 2020 12:00:00 AM","1,913.9","",,
"October 31, 2020 12:00:00 AM","1,924.7","",,
"November 1, 2020 12:00:00 AM","1,935.4","",,
"November 2, 2020 12:00:00 AM","1,935.4","",,
"November 3, 2020 12:00:00 AM","1,935.4","",,
"November 4, 2020 12:00:00 AM","1,946.2","",,
"November 5, 2020 12:00:00 AM","1,957.5","",,
"November 6, 2020 12:00:00 AM","1,969.0","",,
"November 7, 2020 12:00:01 AM","1,980.8","",,
"November 8, 2020 12:00:00 AM","1,992.3","",,
"November 9, 2020 12:00:00 AM","1,992.3","",,
"November 10, 2020 12:00:00 AM","1,992.3","",,
"November 11, 2020 12:00:00 AM","2,003.3","",,
"November 12, 2020 12:00:00 AM","2,014.4","",,
"November 13, 2020 12:00:00 AM","2,025.4","",,
"November 14, 2020 12:00:00 AM","2,036.2","",,
"November 15, 2020 12:00:00 AM","2,047.2","",,
"November 16, 2020 12:00:00 AM","2,047.2","",,
"November 17, 2020 12:00:00 AM","2,047.2","",,
