Time	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh .JCI Trend Log.Present Value (kWh)	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.JCI Trend Log.Present Value (kWh)	
9/1/20, 12:00:00 AM CEST	11574.0	11404.0	
9/2/20, 12:00:00 AM CEST	11678.0	11404.0	
9/3/20, 12:00:00 AM CEST	11753.0	11407.0	
9/4/20, 12:00:00 AM CEST	11865.0	11407.0	
9/5/20, 12:00:00 AM CEST	11959.0	11423.0	
9/6/20, 12:00:00 AM CEST	11959.0	11471.0	
9/7/20, 12:00:00 AM CEST	11959.0	11578.0	
9/8/20, 12:00:00 AM CEST	11959.0	11701.0	
9/9/20, 12:00:00 AM CEST	11959.0	11808.0	
9/10/20, 12:00:00 AM CEST	11959.0	11855.0	
9/11/20, 12:00:00 AM CEST	11959.0	12060.0	
9/12/20, 12:00:00 AM CEST	11959.0	12141.0	
9/13/20, 12:00:00 AM CEST	11959.0	12218.0	
9/14/20, 12:00:00 AM CEST	11959.0	12313.0	
9/15/20, 12:00:00 AM CEST	11959.0	12459.0	
9/16/20, 12:00:00 AM CEST	11959.0	12681.0	
9/17/20, 12:00:00 AM CEST	11959.0	12930.0	
9/18/20, 12:00:00 AM CEST	11959.0	13153.0	
9/19/20, 12:00:00 AM CEST	11959.0	13275.0	
9/20/20, 12:00:00 AM CEST	11959.0	13406.0	
9/21/20, 12:00:00 AM CEST	11959.0	13580.0	
9/22/20, 12:00:00 AM CEST	11959.0	13731.0	
9/23/20, 12:00:00 AM CEST	12064.0	13766.0	
9/24/20, 12:00:00 AM CEST	12080.0	13766.0	
9/25/20, 12:00:00 AM CEST	12139.0	13766.0	
9/26/20, 12:00:00 AM CEST	12322.0	13766.0	
9/27/20, 12:00:00 AM CEST	12367.0	13766.0	
9/28/20, 12:00:00 AM CEST	12471.0	13766.0	
9/29/20, 12:00:00 AM CEST	12556.0	13766.0	
9/30/20, 12:00:00 AM CEST	12657.0	13766.0	
10/1/20, 12:00:00 AM CEST	12739.0	13766.0	
10/2/20, 12:00:00 AM CEST	12802.0	13766.0	
10/3/20, 12:00:00 AM CEST	12936.0	13766.0	
10/4/20, 12:00:00 AM CEST	12999.0	13766.0	
10/5/20, 12:00:00 AM CEST	13104.0	13766.0	
10/6/20, 12:00:00 AM CEST	13395.0	13766.0	
10/7/20, 12:00:00 AM CEST	13538.0	13766.0	
10/8/20, 12:00:00 AM CEST	13612.0	13766.0	
10/9/20, 12:00:00 AM CEST	13779.0	13767.0	
10/10/20, 12:00:00 AM CEST	13779.0	13767.0	
10/11/20, 12:00:00 AM CEST	13779.0	13767.0	
10/12/20, 12:00:00 AM CEST	13779.0	13767.0	
10/13/20, 12:00:00 AM CEST	13813.0	13768.0	
10/14/20, 12:00:00 AM CEST	13820.0	13769.0	
10/15/20, 12:00:00 AM CEST	13908.0	13771.0	
10/16/20, 12:00:00 AM CEST	14121.0	13777.0	
10/17/20, 12:00:00 AM CEST	14287.0	13783.0	
10/18/20, 12:00:00 AM CEST	14346.0	13786.0	
10/19/20, 12:00:00 AM CEST	14409.0	13791.0	
10/20/20, 12:00:00 AM CEST	14409.0	13791.0	
10/21/20, 12:00:00 AM CEST	14605.0	13796.0	
10/22/20, 12:00:00 AM CEST	14758.0	13800.0	
10/23/20, 12:00:00 AM CEST	14830.0	13804.0	
10/24/20, 12:00:00 AM CEST	15000.0	13813.0	
10/25/20, 12:00:00 AM CEST	15012.0	13814.0	
10/26/20, 12:00:00 AM CET	15028.0	13815.0	
10/27/20, 12:00:00 AM CET	15028.0	13815.0	
10/28/20, 12:00:00 AM CET	15238.0	13819.0	
10/29/20, 12:00:00 AM CET	15418.0	13823.0	
