3/1/2020	9.6
3/2/2020	10.2
3/3/2020	11.7
3/4/2020	11.4
3/5/2020	10.6
3/6/2020	10.9
3/7/2020	10.5
3/8/2020	9.3
3/9/2020	9.0
3/10/2020	7.3
3/11/2020	5.3
3/12/2020	6.5
3/13/2020	8.6
3/14/2020	9.3
3/15/2020	7.6
3/16/2020	7.5
3/17/2020	7.9
3/18/2020	6.7
3/19/2020	7.0
3/20/2020	8.5
3/21/2020	9.9
3/22/2020	10.7
3/23/2020	10.9
3/24/2020	11.0
3/25/2020	10.7
3/26/2020	10.3
3/27/2020	8.9
3/28/2020	8.1
3/29/2020	10.3
3/30/2020	11.7
3/31/2020	11.6
4/1/2020	11.3
4/2/2020	11.0
4/3/2020	9.6
4/4/2020	7.4
4/5/2020	3.6
4/6/2020	2.0
4/7/2020	2.0
4/8/2020	0.1
4/9/2020	0.0
4/10/2020	0.6
4/11/2020	0.9
4/12/2020	0.6
4/13/2020	4.7
4/14/2020	8.0
4/15/2020	7.3
4/16/2020	3.5
4/17/2020	1.7
4/18/2020	3.4
4/19/2020	4.8
4/20/2020	3.8
4/21/2020	2.5
4/22/2020	1.3
4/23/2020	0.5
4/24/2020	2.2
4/25/2020	4.7
4/26/2020	5.1
4/27/2020	2.9
4/28/2020	3.5
4/29/2020	4.1
4/30/2020	5.3
5/1/2020	5.6
5/2/2020	6.3
5/3/2020	5.6
5/4/2020	4.7
5/5/2020	5.3
5/6/2020	4.8
5/7/2020	3.1
5/8/2020	1.0
5/9/2020	0.0
5/10/2020	0.4
5/11/2020	5.0
5/12/2020	7.7
5/13/2020	8.0
5/14/2020	7.6
5/15/2020	6.8
5/16/2020	5.8
5/17/2020	4.3
5/18/2020	1.9
5/19/2020	0.5
5/20/2020	0.0
5/21/2020	0.0
5/22/2020	0.0
5/23/2020	0.0
5/24/2020	1.9
5/25/2020	0.7
5/26/2020	0.0
5/27/2020	0.0
5/28/2020	0.0
5/29/2020	0.0
5/30/2020	0.0
5/31/2020	0.0
6/1/2020	0.0
6/2/2020	0.0
6/3/2020	0.0
6/4/2020	1.4
6/5/2020	4.7
6/6/2020	4.9
6/7/2020	3.5
6/8/2020	3.4
6/9/2020	3.4
6/10/2020	2.8
6/11/2020	1.2
6/12/2020	0.0
6/13/2020	0.0
6/14/2020	0.0
6/15/2020	0.0
6/16/2020	0.0
6/17/2020	0.0
6/18/2020	0.0
6/19/2020	0.0
6/20/2020	0.0
6/21/2020	0.0
6/22/2020	0.0
6/23/2020	0.0
6/24/2020	0.0
6/25/2020	0.0
6/26/2020	0.0
6/27/2020	0.0
6/28/2020	0.0
6/29/2020	0.0
6/30/2020	0.1
7/1/2020	0.0
7/2/2020	0.0
7/3/2020	0.0
7/4/2020	0.0
7/5/2020	0.0
7/6/2020	0.1
7/7/2020	0.0
7/8/2020	0.9
7/9/2020	0.0
7/10/2020	0.0
7/11/2020	0.5
7/12/2020	0.2
7/13/2020	0.0
7/14/2020	0.0
7/15/2020	0.2
7/16/2020	0.7
7/17/2020	0.0
7/18/2020	0.0
7/19/2020	0.0
7/20/2020	0.0
7/21/2020	0.0
